test_acc,total_forgetting,forgetting_per_task,Experiment with num_teachers,temperature,kd_method,reg_method,replay_method,data_free_kd,use_generator,onlyCAT,IF_BINARIZE,IF_OnlyTransferPartialCAMs,CAMs_Nums,generator_lr,lambda_ewc,exemplar_store_size,generator_num_epochs,task_accuracies_task1,task_accuracies_task2,softmax
95.91836735,96.10346543,96.10346543,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,50,5,97.79472724,95.91836735,FALSE
89.61955152,92.35615984,92.35615984,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,50,10,95.62261648,89.61955152,FALSE
85.89065256,91.16232797,91.16232797,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,50,20,96.79986735,85.89065256,FALSE
92.99571681,97.03200133,97.03200133,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,100,5,97.51285027,92.99571681,FALSE
85.28596624,91.69291991,91.69291991,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,100,10,92.12402587,85.28596624,FALSE
87.83068783,85.27607362,85.27607362,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,100,20,97.59575526,87.83068783,FALSE
93.72637944,94.13032665,94.13032665,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,500,5,95.12518654,93.72637944,FALSE
92.39103049,94.49510861,94.49510861,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,500,10,98.07660421,92.39103049,FALSE
90.22423784,82.39097994,82.39097994,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,500,20,97.42994528,90.22423784,FALSE
90.09826153,87.2492124,87.2492124,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,1000,5,88.80782623,90.09826153,FALSE
89.34240363,90.26695407,90.26695407,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,1000,10,95.52313049,89.34240363,FALSE
87.32678256,93.93135467,93.93135467,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,500,1000,20,97.42994528,87.32678256,FALSE
90.62736206,89.71978113,89.71978113,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,50,5,97.69524125,90.62736206,FALSE
94.98614261,96.30243741,96.30243741,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,50,10,96.3521804,94.98614261,FALSE
90.40060469,94.5282706,94.5282706,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,50,20,95.15834853,90.40060469,FALSE
82.61526833,82.15884596,82.15884596,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,100,5,96.03714144,82.61526833,FALSE
85.26077098,90.43276405,90.43276405,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,100,10,93.36760073,85.26077098,FALSE
90.35021416,76.3223346,76.3223346,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,100,20,97.41336428,90.35021416,FALSE
89.99748047,90.97993699,90.97993699,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,500,5,97.36362129,89.99748047,FALSE
91.66036785,93.51682971,93.51682971,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,500,10,95.97081744,91.66036785,FALSE
83.52229781,89.55397115,89.55397115,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,500,20,92.7209418,83.52229781,FALSE
93.57520786,94.5780136,94.5780136,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,1000,5,94.5780136,93.57520786,FALSE
91.38321995,88.90731222,88.90731222,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,1000,10,96.55115238,91.38321995,FALSE
91.53439153,94.66091859,94.66091859,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,1000,1000,20,97.03200133,91.53439153,FALSE
56.28621819,87.63057536,87.63057536,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,50,5,91.39446195,56.28621819,FALSE
88.00705467,90.34985906,90.34985906,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,50,10,90.58199304,88.00705467,FALSE
56.91609977,69.64019234,69.64019234,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,50,20,85.06052064,56.91609977,FALSE
69.58931721,76.07361963,76.07361963,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,100,5,76.12336263,69.58931721,FALSE
81.6074578,83.17028685,83.17028685,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,100,10,84.67915769,81.6074578,FALSE
90.72814311,90.73122202,90.73122202,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,100,20,95.88791245,90.72814311,FALSE
84.05139834,87.73006135,87.73006135,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,500,5,88.84098823,84.05139834,FALSE
91.05568153,94.36246062,94.36246062,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,500,10,95.14176753,91.05568153,FALSE
87.67951625,87.3155364,87.3155364,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,500,20,96.43508539,87.67951625,FALSE
94.48223734,90.84728901,90.84728901,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,1000,5,96.3687614,94.48223734,FALSE
88.96447468,93.56657271,93.56657271,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,1000,10,95.92107445,88.96447468,FALSE
88.63693626,83.58481181,83.58481181,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,5000,1000,20,97.54601227,88.63693626,FALSE
92.97052154,91.49394794,91.49394794,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,50,5,91.52710993,92.97052154,FALSE
27.36205593,37.07511192,37.07511192,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,50,10,41.10429448,27.36205593,FALSE
83.1191736,91.65975792,91.65975792,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,50,20,92.17376886,83.1191736,FALSE
94.98614261,90.20063008,90.20063008,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,100,5,91.70950091,94.98614261,FALSE
77.52582514,84.71231968,84.71231968,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,100,10,87.53108937,77.52582514,FALSE
89.2920131,89.0565412,89.0565412,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,100,20,96.25269441,89.2920131,FALSE
63.16452507,76.43840159,76.43840159,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,500,5,78.22914939,63.16452507,FALSE
66.03678508,63.14044105,63.14044105,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,500,10,95.70552147,66.03678508,FALSE
81.25472411,83.98275576,83.98275576,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,500,20,87.86270934,81.25472411,FALSE
81.48148148,86.75178246,86.75178246,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,1000,5,97.67866026,81.48148148,FALSE
72.36079617,79.0581993,79.0581993,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,1000,10,93.6163157,72.36079617,FALSE
91.71075838,75.59277068,75.59277068,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,1,0.0001,10000,1000,20,75.67567568,91.71075838,FALSE
89.79591837,95.20809153,95.20809153,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,50,5,98.04344222,89.79591837,FALSE
95.21289997,95.55629249,95.55629249,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,50,10,98.06002321,95.21289997,FALSE
84.50491308,91.21207097,91.21207097,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,50,20,96.26927541,84.50491308,FALSE
88.8133031,93.08572376,93.08572376,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,100,5,96.23611341,88.8133031,FALSE
84.10178886,95.10860554,95.10860554,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,100,10,95.24125352,84.10178886,FALSE
87.50314941,87.08340242,87.08340242,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,100,20,98.32531918,87.50314941,FALSE
86.87326783,92.60487481,92.60487481,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,500,5,92.85358979,86.87326783,FALSE
89.69513731,82.90499088,82.90499088,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,500,10,93.26811474,89.69513731,FALSE
91.73595364,93.18520975,93.18520975,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,500,20,93.18520975,91.73595364,FALSE
92.23985891,94.81014757,94.81014757,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,1000,5,97.03200133,92.23985891,FALSE
94.45704208,90.97993699,90.97993699,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,1000,10,98.1760902,94.45704208,FALSE
93.95313681,96.88277234,96.88277234,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,500,1000,20,97.04858232,93.95313681,FALSE
79.18871252,84.33095672,84.33095672,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,50,5,95.15834853,79.18871252,FALSE
83.62307886,89.18918919,89.18918919,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,50,10,90.43276405,83.62307886,FALSE
90.87931469,93.03598077,93.03598077,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,50,20,96.65063837,90.87931469,FALSE
93.12169312,90.71464102,90.71464102,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,100,5,97.76156525,93.12169312,FALSE
86.19299572,91.8421489,91.8421489,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,100,10,93.94793567,86.19299572,FALSE
36.63391282,64.26794893,64.26794893,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,100,20,97.77814624,36.63391282,FALSE
92.18946838,90.61515503,90.61515503,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,500,5,90.63173603,92.18946838,FALSE
88.93927942,94.09716465,94.09716465,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,500,10,95.72210247,88.93927942,FALSE
89.44318468,92.93649478,92.93649478,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,500,20,95.24125352,89.44318468,FALSE
85.18518519,84.64599569,84.64599569,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,1000,5,92.45564583,85.18518519,FALSE
80.62484253,90.913613,90.913613,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,1000,10,91.32813795,80.62484253,FALSE
86.8228773,90.63173603,90.63173603,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,1000,1000,20,95.14176753,86.8228773,FALSE
82.48929201,87.77980434,87.77980434,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,50,5,97.01542033,82.48929201,FALSE
89.14084152,83.26977284,83.26977284,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,50,10,85.24291162,89.14084152,FALSE
90.35021416,83.45216382,83.45216382,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,50,20,97.21439231,90.35021416,FALSE
76.49281935,83.76720279,83.76720279,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,100,5,91.59343392,76.49281935,FALSE
50.54169816,68.34687448,68.34687448,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,100,10,68.54584646,50.54169816,FALSE
88.61174099,50.33991046,50.33991046,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,100,20,98.42480517,88.61174099,FALSE
53.59032502,77.44984248,77.44984248,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,500,5,79.78776322,53.59032502,FALSE
95.2632905,97.64549826,97.64549826,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,500,10,97.69524125,95.2632905,FALSE
84.45452255,85.07710164,85.07710164,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,500,20,91.01309899,84.45452255,FALSE
69.94205089,77.41668048,77.41668048,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,1000,5,92.20693086,69.94205089,FALSE
88.00705467,75.4269607,75.4269607,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,1000,10,75.4269607,88.00705467,FALSE
81.20433359,76.70369756,76.70369756,2,1,cat,EWC,exemplar,pseudo,TRUE,TRUE,TRUE,TRUE,3,0.0001,5000,1000,20,76.75344056,81.20433359,FALSE
